title,year,mpaa,wealth,agency,core,music,inclusion,romance,rt_critic,rt_audience,revenue_musd,revenue_adj_musd,icon,commentary,total,tier,segment,critic_minus_audience,safe_bet_index
Cool Runnings,1993,,38,15,15,5,8,6,,,,,,"{""overall"": ""Cool Runnings is a grounded underdog story about ordinary Jamaican athletes who earn every inch of their improbable Olympic journey through grit, teamwork, and self-belief. The structure endorses effort and identity over status, and the emotional core — proving worth on your own terms rather than chasing validation — is genuine if somewhat conventionally rendered."", ""wealth"": ""The protagonists are working-class Jamaicans with no inherited advantage; the goal is athletic achievement and national pride, not status or wealth — firmly in the 'ordinary protagonist, earned ascension' band, docked slightly because the disgraced coach's backstory adds a mild legacy/reputation subplot."", ""agency"": ""The team drives their own story — they recruit the coach, fund the sled, and choose to finish the race even after the crash — but the coach's arc and his redemption share meaningful narrative weight, diluting pure protagonist agency into the strong-but-split band."", ""core"": ""The real story is about identity and self-worth: Derice wanting to be taken seriously, Sanka's loyalty, and the coach's redemption all orbit the question of whether you need external validation to know your own value — real substance, though the beats are familiar."", ""music"": ""The film relies on a licensed reggae-inflected soundtrack and score rather than original story-carrying songs; the music is enjoyable and culturally appropriate but functions as atmosphere, not narrative engine."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The film actively depicts and celebrates a Black Jamaican cast being dismissed and othered by the predominantly white Olympic establishment, and their dignity in the face of that prejudice is a clear thematic thread — but dismantling prejudice is not the film's primary structural lesson, keeping it out of the 10-band."", ""romance"": ""Romance is essentially absent from the narrative structure; no character's arc is resolved through being chosen or paired off.""}",87,A,kids,,
Ice Age,2002,PG,40,15,14,5,7,6,77.0,79.0,383.0,674.0,,"{""overall"": ""Ordinary animals, zero status; found-family-of-misfits returning a baby; sacrifice core solid; score only."", ""wealth"": ""Ordinary animals, zero status"", ""agency"": ""Chooses the herd, returns the baby"", ""core"": ""Found family; sacrifice"", ""music"": ""Score only"", ""inclusion"": ""Band 7/10 (representation, not the lesson): a herd of natural enemies becomes a family; inclusion-adjacent"", ""romance"": ""None""}",87,A,kids,,
Inside Out,2015,PG,40,14,17,5,5,6,98.0,89.0,858.0,1141.0,,"{""overall"": ""Fully ordinary Midwestern kid whose family downsizes; sadness-is-necessary core is the genre ceiling; agency split Joy/Riley; score only."", ""wealth"": ""Fully ordinary kid; the family downsizes"", ""agency"": ""Joy owns her arc; Riley is acted upon"", ""core"": ""Sadness is necessary; the genre ceiling"", ""music"": ""Score only"", ""inclusion"": ""Band 5/10 (neutral): neutral; emotional inclusion is already paid in the core dimension"", ""romance"": ""None""}",87,A,kids,,
How to Train Your Dragon,2010,PG,34,17,16,5,10,5,99.0,91.0,495.0,718.0,,"{""overall"": ""Chief's son dock but village disappointment who earns everything; prejudice against dragons dissolved through understanding; loses a leg - honest consequences; score only."", ""wealth"": ""Chief's son but the village disappointment; earns everything"", ""agency"": ""Spares, builds, defies his whole culture"", ""core"": ""Gentleness in a violent culture; loses a leg and it stays lost"", ""music"": ""Soaring score, no songs"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): prejudice against dragons dissolved through understanding; the hero ends limb-different"", ""romance"": ""Astrid after earned respect; light dock""}",87,A,kids,,
Onward,2020,,38,14,17,5,7,6,,,,,,"{""overall"": ""Onward is a genuinely grounded story about two ordinary suburban elf brothers trying to spend one last day with their dead father — the emotional core is grief, brotherhood, and learning to see the love that was already there. Ian earns every step through effort and vulnerability, and the story's resolution is emotionally honest rather than status-driven."", ""wealth"": ""The brothers are working-class suburban kids with no inherited greatness — Ian's specialness is his latent magic, which he has to practice and fail at repeatedly to develop, placing this firmly in the high band alongside Rocky and Spirited Away; the modest magical-lineage element keeps it just off a perfect 40."", ""agency"": ""Ian drives the quest through his own choices and magical effort, but the climax splits: Barley holds off the curse-dragon while Ian has his farewell moment off-screen, diluting sole agency enough to drop from 17 to the strong-but-split band."", ""core"": ""The film's emotional engine is unambiguous and deeply felt — grief for a father never known, fear of inadequacy, and the revelation that the present love (Barley) was the real gift all along; this is a 17-band core."", ""music"": ""The film uses an original score by Mychael and Jeff Danna with no story-carrying songs; it functions as atmospheric underscore only, placing it squarely in the score-only band."", ""inclusion"": ""Band 7/10 (Meaningful representation, not the lesson): The world is casually diverse in species and background, and Laurel's girlfriend Officer Specter is a matter-of-fact LGBTQ+ inclusion moment; representation is present and meaningful but anti-prejudice is not the film's thesis."", ""romance"": ""Romance is entirely absent from the protagonist's arc; the story is about brotherhood and grief, with no marriage-as-prize framing whatsoever.""}",87,A,kids,,
The Princess and the Frog,2009,G,34,17,15,9,8,4,85.0,74.0,271.0,401.0,,"{""overall"": ""Tiana's grind IS the theme ('almost there'); marries a prince but a broke one who gets a job; Black culture centered; romance central hence dock."", ""wealth"": ""Tiana's grind is the theme; the goal is a livelihood"", ""agency"": ""Works for everything; saves them both"", ""core"": ""Dreams versus what you need"", ""music"": ""Strong New Orleans songbook"", ""inclusion"": ""Band 8/10 (strong, secondary): Black culture centered; 1920s racism acknowledged but softened; representation-forward"", ""romance"": ""Romance central; the broke prince gets a job""}",87,A,kids,,
Ratatouille,2007,G,36,17,15,5,9,5,96.0,87.0,623.0,953.0,,"{""overall"": ""'A great artist can come from anywhere' is the rubric in sentence form; slight dock for the gifted palate; class/species exclusion text."", ""wealth"": ""Anyone can cook; gifted-palate dock"", ""agency"": ""Remy risks everything for the craft"", ""core"": ""Art versus origin; Ego's review"", ""music"": ""Score only"", ""inclusion"": ""Band 9/10 (strong, secondary): 'anyone can cook' is an inclusion thesis; class and species exclusion text"", ""romance"": ""Linguini romance incidental""}",87,A,kids,,
The LEGO Movie,2014,PG,38,15,14,7,7,5,96.0,87.0,468.0,627.0,,"{""overall"": ""The prophecy is FAKE - explicitly anti-chosen-one; ordinary construction worker; Everything Is Awesome is satire that slaps."", ""wealth"": ""The prophecy is fake; an ordinary construction worker"", ""agency"": ""Emmet's ordinariness is the point"", ""core"": ""Creativity versus control; the dad reveal"", ""music"": ""Everything Is Awesome, satire that slaps"", ""inclusion"": ""Band 7/10 (representation, not the lesson): conformity critique and Cloud Cuckoo Land; inclusion-adjacent, not the lesson"", ""romance"": ""Wyldstyle arc slightly prize-shaped""}",86,A,kids,,
Big Hero 6,2014,PG,36,16,16,5,7,6,90.0,91.0,657.0,880.0,,"{""overall"": ""Ordinary kid; grief core (Tadashi) handled honestly; diverse cast; score only."", ""wealth"": ""Ordinary kid genius; earned via depicted tinkering"", ""agency"": ""Builds the team, chooses mercy over revenge"", ""core"": ""Grief for Tadashi handled honestly"", ""music"": ""Score plus one Fall Out Boy track"", ""inclusion"": ""Band 7/10 (representation, not the lesson): diverse cast, casual not preachy; representation without a prejudice lesson"", ""romance"": ""None""}",86,A,kids,,
Inside Out 2,2024,,38,14,16,5,7,6,,,,,,"{""overall"": ""Inside Out 2 is a psychologically grounded sequel that earns most of its marks by centering Riley's internal emotional life rather than external status or romance. The emotional core is genuinely ambitious — anxiety, identity formation, and the complexity of a 'complete' self — though it lands slightly below the original's precision. The protagonist's agency is strong but meaningfully diluted by the ensemble of emotions doing the heavy lifting."", ""wealth"": ""Riley is an ordinary middle-class kid; her hockey ambitions are about belonging and identity, not wealth or status ascension — firmly in the 38-40 band, docked slightly because the elite hockey camp setting passively normalizes a degree of socioeconomic access without comment."", ""agency"": ""Riley's internal emotions (Joy, Anxiety, and ultimately the full ensemble) resolve the climax rather than Riley herself making a conscious external choice — strong but split/destiny-assisted, landing in the 13-14 band rather than a clean 17."", ""core"": ""The story is genuinely about identity formation and the fear that one's 'true self' might not be good enough — honest, resonant emotional territory that nearly matches the original but is slightly more schematic in its resolution, landing at 16 rather than 17."", ""music"": ""No original songs carry the narrative; the film relies on score and licensed tracks, placing it squarely in the 5-band alongside Cars and the original Inside Out."", ""inclusion"": ""Band 6/10 (between neutral and meaningful representation): The film's cast of emotions is non-human and the human world is modestly diverse in background characters, but inclusion is neither the lesson nor a meaningfully foregrounded theme; the missed opportunity of Anxiety as a character who could speak to neurodiversity is left largely unexplored, pulling it below the 7-band."", ""romance"": ""Romance is entirely absent from the narrative; Riley's preoccupations are friendship, identity, and hockey — scoring a full 6.""}",86,A,kids,,
Spider-Man: Into the Spider-Verse,2018,,32,15,17,8,8,6,,,,,,"{""overall"": ""Into the Spider-Verse is a structurally rich film about a genuinely ordinary kid from Brooklyn who earns his heroism through failure, practice, and self-acceptance rather than destiny alone. Its emotional core — 'anyone can wear the mask' — is the thesis of the entire film, and Miles Morales's arc is one of the most honestly earned protagonist journeys in modern animation. The inherited-specialness dimension is complicated by the radioactive-spider bite, but the story actively interrogates and subverts the 'chosen one' framing."", ""wealth"": ""Miles is a working-class kid from Brooklyn with no inherited status; the spider bite is a narrative complication the story explicitly deconstructs ('I never had a desk'), landing closer to the 30-35 band — modest circumstantial origin doing some narrative work but consistently critiqued and earned through depicted grind."", ""agency"": ""Miles solves his own climax — he masters his powers, defeats Kingpin, and saves the spider-people through his own choices — but the arc is meaningfully assisted by the ensemble of spider-mentors, particularly Peter B. Parker, pulling it just below a full 17."", ""core"": ""The emotional core is identity, belonging, and self-belief under grief (Uncle Aaron's death is the hinge), rendered with genuine honesty and depth — firmly in the 17 band alongside Inside Out and Coco."", ""music"": ""The hip-hop-inflected score and licensed tracks (Post Malone, Juice WRLD, Blackway) carry enormous tonal weight and are deeply integrated into Miles's character, but they are not original narrative songs in the Frozen/Moana sense, placing this in the strong-score/licensed-soundtrack band with a bump for how purposefully the music functions."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): Miles as an Afro-Latino Spider-Man is meaningful representation at the center of the story, and the film's 'anyone can wear the mask' thesis has genuine anti-exclusion force, but prejudice itself is not the plot mechanism the way it is in Zootopia or Mulan."", ""romance"": ""Romance is entirely absent as a narrative goal or reward; Miles's mild crush on Gwen is a character texture, not a prize, placing this firmly in the 6 band.""}",86,A,kids,,
Balto,1995,,38,15,15,5,8,5,,,,,,"{""overall"": ""Balto is a grounded, working-class adventure about a half-wolf sled dog who earns his place through courage and perseverance rather than birthright — his wolf heritage is framed as a burden he must accept, not a superpower that hands him victory. The emotional core is genuine (belonging, self-acceptance, prejudice) and his agency is strong, though a few luck-assisted moments and the bear sequence dilute it slightly. Romance is present but peripheral."", ""wealth"": ""Balto is an ordinary stray with no status — his wolf blood is a social liability, not an advantage, and the story endorses no wealth or status reward; he earns community acceptance through action, firmly in the 36-40 band."", ""agency"": ""Balto makes the key decisions — refusing to give up, finding the trail, leading the team home — but the polar bear encounter and Boris's support nudge this just below a pure 17; strong but with modest assistance."", ""core"": ""The film's real subject is belonging and self-acceptance in the face of othering — Balto's arc is about embracing his dual nature rather than denying it — giving it real emotional substance, though it is simpler and less layered than an Inside Out or Coco."", ""music"": ""The film relies primarily on James Horner's orchestral score with no story-carrying original songs; licensed/score-only band applies."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): prejudice against Balto as a half-breed is a persistent, named force in the narrative and his acceptance is the emotional payoff, but the anti-prejudice theme is woven into a survival adventure rather than being the central lesson in the way Zootopia makes it."", ""romance"": ""Jenna is a meaningful presence and there is a clear romantic bond, but it is balanced against the survival mission and never framed as the prize Balto is seeking.""}",86,A,kids,,
Charlotte's Web,1973,G,40,12,16,6,5,6,78.0,71.0,12.0,85.0,,"{""overall"": ""Runt pig saved twice by others (Fern, Charlotte) - agency dock; honest about death; friendship core strong."", ""wealth"": ""A runt pig in a farm world"", ""agency"": ""Saved twice by others"", ""core"": ""Death honest and unsentimental"", ""music"": ""Modest songs"", ""inclusion"": ""Band 5/10 (neutral): neutral barnyard; nothing taught, nothing harmed"", ""romance"": ""None""}",85,A,kids,,
Shrek,2001,PG,35,15,14,6,10,5,88.0,90.0,484.0,866.0,,"{""overall"": ""Swamp nobody in a film satirizing fairy-tale royalty; Farquaad deports fairy-tale creatures to a ghetto - inclusion made text; Fiona chooses ogre form; licensed soundtrack."", ""wealth"": ""A swamp nobody; royalty satirized"", ""agency"": ""Rescues and then refuses the script"", ""core"": ""Layers; self-acceptance"", ""music"": ""Licensed soundtrack"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): fairy-tale creatures deported to a ghetto; judged-by-appearance is the text and it is refuted"", ""romance"": ""Fiona chooses ogre form; subverted""}",85,A,kids,,
The Karate Kid,1984,PG,38,16,15,5,7,4,91.0,89.0,91.0,278.0,,"{""overall"": ""Working-class kid vs rich Cobra Kai antagonists; skill EARNED through depicted grind - the anti-inherited-specialness; mentorship core; Miyagi's internment backstory."", ""wealth"": ""Working-class kid versus rich Cobra Kai"", ""agency"": ""Earns every inch through depicted grind"", ""core"": ""Mentorship and discipline"", ""music"": ""Score plus 80s tracks"", ""inclusion"": ""Band 7/10 (representation, not the lesson): Miyagi's internment backstory and the outsider kid; representation with an edge"", ""romance"": ""Ali subplot moderate""}",85,A,kids,,
Monsters University,2013,,38,13,15,5,8,6,,,,,,"{""overall"": ""Monsters University is a rare Pixar film whose structural thesis is actually anti-meritocracy in a healthy way: Mike works harder than anyone and still doesn't become a top scarer, because the story honestly concludes he was born without the innate talent for it. The emotional core is genuinely about self-knowledge and finding your real path rather than wish-fulfillment. Agency is strong but diluted by the ensemble Oozma Kappa team and Sully's late intervention at the climax."", ""wealth"": ""Mike is a completely ordinary monster from an unremarkable background; no inherited status, wealth, or destiny does narrative work — he earns everything through effort and the story's reward is a livelihood (mailroom-to-scare-floor grind), not status ascension, placing this firmly near the top band."", ""agency"": ""Mike drives the plot through his own choices and schemes throughout, but the climax is meaningfully split — Sully cheats on Mike's behalf and then both are expelled together, diluting pure solo agency into the strong-but-shared band."", ""core"": ""The emotional core is genuinely about the gap between dream and talent, and the courage to redirect your identity — real substance, though it lands slightly below the deepest Pixar grief/identity explorations like Coco or Inside Out."", ""music"": ""Score-only; no original songs carry the narrative, placing it squarely in the licensed/score band."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The Oozma Kappa misfits — diverse in body type, age, and social standing — are explicitly the underdogs who prove belonging through effort, and the film actively celebrates non-conformity and rejects gatekeeping, though anti-prejudice is a supporting theme rather than the central lesson."", ""romance"": ""Romance is entirely absent from the narrative structure; the story is about friendship, rivalry, and self-discovery.""}",85,A,kids,,
The Many Adventures of Winnie the Pooh,1977,,40,13,13,8,5,6,,,,,,"{""overall"": ""This gentle anthology film follows an ordinary stuffed bear and his woodland friends through small, imaginative adventures rooted in friendship and childhood wonder. There is no status, no wealth, and no grand destiny — just a bear of very little brain navigating honey, heffalumps, and the bittersweet passage of time. The emotional core is real but modest, and the songs are charming and story-functional without reaching the depth of a full musical."", ""wealth"": ""Pooh is as ordinary as a protagonist gets — a stuffed animal with no lineage, no inheritance, and no status reward; the story could happen to any child's toy, anchoring firmly at the top band."", ""agency"": ""Pooh and friends drive their own small episodic plots, but solutions are often communal, luck-assisted, or simply dissolve (dream sequences, Tigger rescued by collective effort), keeping this just below the full-agency band."", ""core"": ""The film carries genuine warmth about friendship, imagination, and — especially in the Christopher Robin farewell segment — the honest ache of growing up, but the episodic structure keeps it from the deepest band."", ""music"": ""The Sherman Brothers songs ('Winnie the Pooh,' 'The Wonderful Thing About Tiggers,' 'A Rather Blustery Day') are memorable and advance character and mood, but the compilation format leaves gaps between musical moments."", ""inclusion"": ""Band 5/10 (Neutral): The cast is entirely non-human animals in a fantasy woodland with no real-world group dynamics, prejudice, or representation lesson — nothing harmful, nothing taught."", ""romance"": ""Romance is entirely absent from the film; the central relationship is platonic childhood friendship between a boy and his toys, scoring at the top of this dimension.""}",85,A,kids,,
The Great Mouse Detective,1986,,38,15,13,8,5,6,,,,,,"{""overall"": ""The Great Mouse Detective is a tightly plotted mystery-adventure built around a genuinely ordinary (if brilliant) mouse detective and a child in peril; no one is born special, status is never the reward, and the story earns its resolution through intellect and effort. Agency is strong but slightly diluted by Basil's ego-driven detour and Dawson's supporting role in the climax. The emotional core is real but relatively modest — grief over a missing father and the value of friendship — landing it in the solid-but-simpler band."", ""wealth"": ""Basil is a self-made consulting detective of no inherited status, the goal is rescuing Olivia's father and stopping a villain, and no wealth or status ascension is endorsed as reward — firmly in the 40-band range, docked only slightly for Basil's eccentric-genius exceptionalism doing minor narrative work."", ""agency"": ""Basil drives the investigation and devises the climactic trap, but his mid-story collapse into despair requires Dawson to rally him, and the final confrontation is a shared effort — strong but split, landing at 13-15."", ""core"": ""The emotional underpinning is Olivia's love for her father and Basil's arc from arrogant loner to someone who values his companions — real substance, but relatively simple compared to grief or identity arcs in the top band."", ""music"": ""The film has a handful of original songs ('The World's Greatest Criminal Mind,' 'Let Me Be Good to You,' 'Goodbye So Soon') that are memorable and story-integrated, though the score carries more weight than the songs overall — strong songs with gaps."", ""inclusion"": ""Band 5/10 (Neutral): The cast is non-human mice in a Victorian pastiche with no meaningful representation or prejudice themes; nothing harmful, nothing taught."", ""romance"": ""Romance is entirely absent from the narrative; Basil and Dawson's relationship is collegial and Olivia's arc is purely familial — scores at the top of this dimension.""}",85,A,kids,,
Paddington,2014,PG,34,14,15,5,10,6,97.0,82.0,282.0,378.0,,"{""overall"": ""Immigration and welcome as the entire text; marmalade-based diplomacy; small agency dock - the Browns do much of the saving."", ""wealth"": ""An immigrant bear with nothing"", ""agency"": ""The Browns do much of the saving"", ""core"": ""Welcome and belonging"", ""music"": ""Score plus calypso band"", ""inclusion"": ""Band 10/10 (inclusion is the lesson): immigration and welcome are the entire text"", ""romance"": ""None""}",84,A,kids,,
Dumbo,1941,,38,13,17,8,2,6,,,,,,"{""overall"": ""Dumbo is a genuinely moving fable about difference and self-belief, with a real emotional core, but its protagonist is largely passive and carried by Timothy Mouse, and the film is marred by actively harmful racial caricature in the crow sequence. The reward is a livelihood (circus stardom) rather than status ascension, keeping wealth scores moderate."", ""wealth"": ""Dumbo is born into no privilege — he is a circus animal mocked for his difference — and the reward is a performing career and reunion with his mother, not status; this lands in the 30-35 band as a livelihood goal with modest critique of the circus hierarchy."", ""agency"": ""Dumbo's climactic flight is his own act, but the solution (the 'magic feather' confidence trick) is entirely engineered by Timothy, and Dumbo is passive through most of the plot; this is luck-heavy and shared, placing it at 8."", ""core"": ""The emotional core — belonging, being loved despite difference, a child separated from his mother — is genuinely felt and simple but honest, earning a Cars-tier 15 rather than the full 17."", ""music"": ""Songs like 'Baby Mine' and 'Pink Elephants on Parade' carry real emotional and narrative weight, but the score does much of the heavy lifting and the song count is thin; strong songs with gaps places this at 8."", ""inclusion"": ""Band 2/10 (Harmful stereotyping present in the text): The crows are explicit racial caricatures — one is literally named 'Jim Crow' in production materials — voiced by white actors doing minstrel-style performances; this is harmful othering present in the text, not merely passive absence."", ""romance"": ""Romance is entirely absent from the narrative; the central relationship is maternal, scoring the full 6.""}",84,A,kids,,
Toy Story 3,2010,,38,13,17,5,5,6,,,,,,"{""overall"": ""Toy Story 3 is a structurally rich film whose emotional core — about obsolescence, loyalty, mortality, and letting go — is among the most honest in animated cinema. The toys are ordinary objects whose worth comes entirely from love and action, not birth or status, and the climax is genuinely earned through collective courage rather than rescue."", ""wealth"": ""The protagonists are mass-produced plastic toys with no inherited status; the story could happen to any discarded object, firmly anchoring this near the top of the band alongside Inside Out and Spirited Away — docked two points only because Andy's comfortable suburban life does minor narrative work in framing the abandonment."", ""agency"": ""The toys collectively devise and execute their own escape plans throughout, but the climax is split: they nearly die passively in the incinerator before the Aliens (a deus-ex-machina callback) rescue them with the claw, diluting full agency and landing this in the strong-but-split band."", ""core"": ""The film's emotional core is a profound meditation on mortality, purpose, and the grief of being outgrown — among the deepest and most honestly rendered themes in the franchise, earning the top band."", ""music"": ""The film relies on Randy Newman's score and one reprise of 'You've Got a Friend in Me'; there are no new story-carrying original songs, placing it squarely in the score-only band."", ""inclusion"": ""Band 5/10 (Neutral): The cast is a diverse ensemble of toy archetypes but the film neither teaches inclusion nor harms any group — a neutral, non-human-coded world with nothing taught and nothing harmful."", ""romance"": ""Romance is entirely absent from the central narrative; Woody and Buzz's brief comedic flirtations with Jessie and the Ken/Barbie subplot are played for laughs and carry no 'being chosen' prize framing, keeping this at the top of the band.""}",84,A,kids,,
Toy Story 4,2019,,38,15,16,5,5,5,,,,,,"{""overall"": ""Toy Story 4 is a genuinely earned character study about Woody confronting obsolescence and redefining his sense of purpose outside of being 'needed.' The protagonist is an ordinary toy whose arc is driven by internal choices rather than birthright or status, and the emotional core — identity and letting go — is honest and resonant. The story's endorsed outcome is personal freedom and self-determination, not wealth or ascension."", ""wealth"": ""Woody is a mass-produced toy with no special lineage; the story could happen to any toy, placing this firmly in the 38-40 band — docked slightly because Woody's prior 'favorite toy' status does a small amount of narrative work as the thing he must relinquish."", ""agency"": ""Woody drives nearly every key decision — rescuing Forky, choosing to stay with Bo, confronting Gabby Gabby — but the climax is somewhat diluted by ensemble assists from Bo and the carnival toys, keeping this just below a full 17."", ""core"": ""The film's emotional core is a deep and honest reckoning with identity, purpose, and the courage to change — Woody's arc of letting go of his defining role is genuinely moving and sits close to the top band."", ""music"": ""The film relies primarily on Randy Newman's score and a few licensed/diegetic pieces rather than story-carrying original songs, placing it squarely in the score-only band."", ""inclusion"": ""Band 5/10 (Neutral): The cast is non-human toys with no group harmed and no prejudice lesson taught; Bo Peep is a strong, independent female character but inclusion is not the film's thesis."", ""romance"": ""Woody and Bo's reunion is a meaningful thread but it is balanced against and ultimately secondary to Woody's identity arc; being chosen by Bo is not the prize — his own freedom is.""}",84,A,kids,,
The NeverEnding Story,1984,PG,38,15,14,6,5,6,81.0,81.0,100.0,305.0,,"{""overall"": ""Bullied ordinary kid; grief for his mother and the power of imagination; Fantasia saved by an ordinary reader."", ""wealth"": ""A bullied, ordinary kid"", ""agency"": ""An ordinary reader saves Fantasia"", ""core"": ""Grief for his mother; imagination as power"", ""music"": ""That theme song"", ""inclusion"": ""Band 5/10 (neutral): neutral"", ""romance"": ""None""}",84,A,kids,,
Homeward Bound: The Incredible Journey,1993,,38,15,15,5,5,6,,,,,,"{""overall"": ""Three ordinary pets — two dogs and a cat — drive their own journey home through sheer determination, loyalty, and personality. The story is genuinely about love, belonging, and perseverance rather than status or being chosen, and the protagonists solve most of their own problems, though luck and circumstance assist at key moments."", ""wealth"": ""The pets belong to a comfortable suburban family, but this is pure backdrop with zero narrative weight; the goal is reunion, not status or wealth, placing this firmly near the top band."", ""agency"": ""The three animals make nearly all their own decisions and push the plot forward themselves, but the climax relies partly on the family happening to be at the right place, and Chance's near-fatal fall is resolved with human rescue — splitting the credit enough to drop from a full 17."", ""core"": ""The emotional core is genuine — loyalty, belonging, and the fear of abandonment — but it operates at a relatively simple register without the layered grief or identity complexity of the top-band anchors."", ""music"": ""The film uses a composed orchestral score with no original songs carrying the narrative; licensed/score-only band applies."", ""inclusion"": ""Band 5/10 (Neutral): The cast is non-human animals voiced by humans; no group is harmed or taught about, and no inclusion lesson is present — straightforwardly neutral."", ""romance"": ""Romance is entirely absent from the narrative; the emotional bonds are familial and inter-species friendship, scoring the full 6.""}",84,A,kids,,
Lightyear,2022,,38,13,13,5,8,6,,,,,,"{""overall"": ""Lightyear is a genuinely ordinary-protagonist story about a Space Ranger who earns everything through effort and stubbornness, with no inherited status or wealth at play. The emotional core — Buzz's inability to accept help or failure, and his arc toward trusting others — is real but somewhat undercut by the time-loop gimmick and ensemble mechanics. The film lands as a solid mid-tier scorer: strong on agency and ordinariness, lighter on emotional depth."", ""wealth"": ""Buzz Lightyear is a career military/ranger figure with no inherited wealth or status; his specialness comes entirely from competence and determination, placing him firmly in the 35-40 band."", ""agency"": ""Buzz drives most of the plot through his own choices, but the climax is meaningfully shared with Izzy and the team, and his past self's intervention complicates sole-protagonist solving — strong but split, landing at 13."", ""core"": ""The story has real substance in Buzz's flaw of self-reliance and his grief over stranding his crew, but the arc is somewhat surface-level and the time-travel framing keeps it from reaching the deeper emotional honesty of a Coco or Inside Out — real substance, simpler arc."", ""music"": ""Lightyear uses a score (Michael Giacchino) rather than original narrative songs; no diegetic or story-carrying musical numbers are present."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): Alisha's same-sex marriage and family are depicted naturally and positively on screen, a meaningful representation choice, though inclusion is not the film's central lesson."", ""romance"": ""Romance is entirely absent from Buzz's arc; Alisha's relationship is depicted warmly but belongs to a supporting character and is not framed as a prize — effectively absent from the protagonist's story.""}",83,A,kids,,
The Wizard of Oz,1939,G,38,14,14,9,2,6,98.0,89.0,29.0,600.0,,"{""overall"": ""Kansas farm girl; wants nothing but home; 'no place like home' core; iconic songs; inclusion revised down: wicked-because-she-looks-wicked othering played straight ('only bad witches are ugly'); wizard fraud exposed but faces no consequence."", ""wealth"": ""Farm girl who wants nothing but home"", ""agency"": ""Kills two witches mostly by accident; had the shoes all along"", ""core"": ""No place like home"", ""music"": ""Over the Rainbow"", ""inclusion"": ""Band 2/10 (harmful othering present): 'only bad witches are ugly': wickedness coded as ugliness, othering played straight in dialogue"", ""romance"": ""None""}",83,A,kids,,
FernGully: The Last Rainforest,1992,,38,13,13,8,8,3,,,,,,"{""overall"": ""FernGully is an environmentally-driven story with an ordinary fairy protagonist and a human everyman who together stop industrial destruction of the rainforest. The emotional core is genuine — stewardship, consequence, and awakening — but the climax is somewhat split between Crysta and Zak, and the romance is present without being the prize."", ""wealth"": ""Crysta is a fairy apprentice with no inherited status doing narrative work; Zak is a working-class logger's assistant — neither protagonist is born into greatness nor is status the endorsed reward, placing this solidly near the top band."", ""agency"": ""Crysta drives most of the plot and ultimately defeats Hexxus by trapping him in a tree, but Zak's role in rallying the loggers and the bat Batty's contributions dilute sole ownership of the solution enough to pull this below a full 17."", ""core"": ""The story carries real substance about environmental responsibility and the cost of human ignorance, but it functions more as a message-driven adventure than a deeply personal emotional excavation like grief or identity, landing in the 13 band."", ""music"": ""The film features original songs (Tim Curry's 'Toxic Love,' Robin Williams's rap number, 'Some Other World') that are woven into the narrative and character moments, but the overall musical architecture is uneven and not as structurally load-bearing as a Moana or Frozen."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The film's central message is ecological and implicitly anti-colonial — indigenous fairy culture versus extractive industrial humanity — and the cast is diverse, but anti-prejudice is not the primary lesson so it doesn't reach a 10."", ""romance"": ""A light romance develops between Crysta and Zak but it is clearly secondary to the environmental mission and neither marriage nor being-chosen is framed as the reward, placing it in the balanced middle band.""}",83,A,kids,,
Chicken Run,2000,,38,16,13,5,8,3,,,,,,"{""overall"": ""Chicken Run is a genuinely working-class escape story: ordinary chickens with no special birthright plan and execute their own liberation through collective effort and ingenuity. The emotional core is real but relatively simple — freedom vs. captivity — and the structure endorses earned action over inherited status or romantic rescue."", ""wealth"": ""Ginger and the flock are as ordinary as protagonists get — literally livestock with no status — and the reward is freedom, not wealth or ascension; firmly in the 40-band, docked slightly because Rocky the rooster's arrival provides a temporary external resource the plan depends on."", ""agency"": ""Ginger drives virtually every plan and the final escape is her design; docked one point from 17 because Rocky's initial deception and his eventual return are structurally necessary to the climax, splitting credit slightly."", ""core"": ""The story carries a genuine theme of collective self-determination and the refusal to accept a fate imposed by others, but it operates at a fairly straightforward adventure level rather than plumbing deep emotional interiority like grief or identity."", ""music"": ""The film uses a memorable score (John Powell and Harry Gregson-Williams) and diegetic musical moments but has no original songs carrying the narrative; score-only band applies."", ""inclusion"": ""Band 8/10 (strong inclusion content, secondary to main arc): The ensemble is deliberately diverse in personality and role, and the story implicitly critiques the powerful exploiting the powerless, but anti-prejudice is not the explicit lesson — freedom and solidarity are."", ""romance"": ""A light romance between Ginger and Rocky is present and warmly resolved, but it is clearly secondary to the escape plot and neither character's arc is defined by being chosen; balanced, not prize-framed.""}",83,A,kids,,
